Potential Accident Level,Gender,Country_Country_01,Country_Country_02,Country_Country_03,Local_Local_01,Local_Local_02,Local_Local_03,Local_Local_04,Local_Local_05,Local_Local_06,Local_Local_07,Local_Local_08,Local_Local_09,Local_Local_10,Local_Local_11,Local_Local_12,Industry Sector_Metals,Industry Sector_Mining,Industry Sector_Others,Employee or Third Party_Employee,Employee or Third Party_Third Party,Employee or Third Party_Third Party (Remote),"Critical Risk_
Not applicable",Critical Risk_Bees,Critical Risk_Blocking and isolation of energies,Critical Risk_Burn,Critical Risk_Chemical substances,Critical Risk_Confined space,Critical Risk_Cut,Critical Risk_Electrical Shock,Critical Risk_Electrical installation,Critical Risk_Fall,Critical Risk_Fall prevention,Critical Risk_Fall prevention (same level),Critical Risk_Individual protection equipment,Critical Risk_Liquid Metal,Critical Risk_Machine Protection,Critical Risk_Manual Tools,Critical Risk_Others,Critical Risk_Plates,Critical Risk_Poll,Critical Risk_Power lock,Critical Risk_Pressed,Critical Risk_Pressurized Systems,Critical Risk_Pressurized Systems / Chemical Substances,Critical Risk_Projection,Critical Risk_Projection of fragments,Critical Risk_Projection/Burning,Critical Risk_Projection/Choco,Critical Risk_Projection/Manual Tools,Critical Risk_Suspended Loads,Critical Risk_Traffic,Critical Risk_Vehicles and Mobile Equipment,Critical Risk_Venomous Animals,Critical Risk_remains of choco,Description,Accident Level
3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"The technician Operator when heading towards the zone of lifting containers of dust of zinc in the Section 50, uses a space between base of tranquera and sardinel, slipping in the edge and raspándose left side of thorax. He was treated at the medical center with local treatment, returning to his work area.",1
4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"In circumstances that the mechanical technician and his work colleague arranged to accommodate the spare (Rollover) of the Small 02 on the platform of the cart on the floor, the two squat collaborators decide to push one on each side, at which time one edge of the Rollover imprisons the third finger of left hand against the handle of the cart on the right side, causing the wound on the third finger left hand. At the time of the accident both employees used their respective gloves.",1
3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Being 10:50 a.m. approximately, in the maintenance workshop of the E.E Unicon, in circumstances that two mechanical technicians placed the protective plate (30 kg.) of the Mixkret 111 fuel tank, At the moment of attempting to bolt this protective plate it slips from the hands of one of them falling directly on the instep of the left foot, causing the injury described.",2
3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"At times that the workers: Technician and Mr. Orlando of Boltec 2 of Cia. wanted to pass the hand stacker by a sardinel, the technician pulled the hydraulic arm, while Mr. was pushing from the nail of the equipment, when reaching the trench the rim is tied and the team turns forward falling on the technician.",1
1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Project of Vazante that carried out sediment collection of current in the South of Mata target, in the drainage of Serra do Garrote. team that was composed of 04 members of the WCA company, being the S.r.s Leandro, and Jehovânio. they were moving from one collection point to another, inside a shallow drainage, they saw the bee carton, the reaction was to move away from the box as quickly as possible to avoid the stings, they ran about 50 meters, looking for a safe area, to exit the radius of attack of the bees, but the S.S. and Breno), were attacked and consequently they suffered 02 stings, in the belly and Jehovah in the hand, verified that there was no type of allergic reaction, returned with the normal activities.",1
1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"During the field activity in the AMG project, target São Luiz, the reconnaissance team was boarding the car, which was parked with the windows closed. When they entered the Mr. Paulo putting the seat belt inside the vehicle, pressed a wasp between the shoulder and the neck, causing a sting. It is believed that, possibly, the bee was nailed to the clothes because the car was properly closed.",1
2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"An auxiliary wheel of the cathode crane G2133 was changed in area 75, when when a bearing was heated and hit with a hammer and chisel at one end of the bearing track, a detachment of a bearing piece occurred, impacting it in the thigh of the right leg producing a cut. The ambulance is called and you are transferred to the clinic.",1
4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"happened?): During the maintenance of the Bolter equipment; the collaborator uses a carpenter's hammer to be able to remove a link in the chain of advance the drilling machine, in moments that hits on the side of the chain, the partner hits the structure of the beam diverting the path of the hammer causing it to strike his left hand.",3
2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"The employee reports that he performed his routine activities in the area of ​​Electrolysis when, when trying to position one of the cathode sheets on the easel, it hit his sleeve and caused a cut in the same and superficially in the left hand.",1
4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"During the activity of construction of wall stopper with mortar blocks to improve ventilation in the intermediate zone; in moments that the bricklayer assistant was preparing to complete the construction of the 3.05m high wall, part of the wall - 12 blocks; 1.5 Kg per block - fall towards the scaffold, so the mason assistant jumps towards an accumulation of sand located on one side to avoid being hit by the blocks, during the fall the injury described occurs. At the time of the accident the mason assistant jumps from a height of 1.40 m from the floor of the work and used his personal safety equipment which reduced the impact of the fall.",1
2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"In bypass 100 of level 1970 when the workers of the company Incimet Raul (operator of Bolter bolting team) and Rolando (assistant) retired after installing the support with helical bolt, the pink team with a mesh overhanging the gable, so the teacher tells his assistant to cut the mesh and the instant the assistant finished cutting the mesh, it suddenly rises hitting his face causing the injury described.",1
1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"The Safety and Technical moved to the field for inspection activity, on the way to the field, paused together with the other two teams in order to know the drainage points to be checked, the Safety at getting out of the vehicle, was struck by a sting of a weed in his neck, quickly returned to the vehicle and made radio communication with the other two teams which distanced themselves from the place. The clerk was wearing leggings and glasses. There was no allergic reaction.",1
4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"During ore transport works from OP2 to bines; after having filled the tenth mining car with ore, the assistant positioned on the platform of the hopper OP2 places a wooden board between the pistons of the chain to avoid the fall of fines into the track, at which time a fragment of rock (10cmx8cm x6 cm; 1.4 Kg) rolls by the load and hits the distal phalanx of the fourth finger of the left hand. The assistant at the time of the accident was wearing safety gloves (pad type). The hopper OP2 at the time of the accident was with zero energy.",3
3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Employee reports that when returning the anode to the easel the even bumped into the side of the easel coming to swing and hit his right shoulder, causing bruise.",1
3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"At level 2995 access # 6 A1 while the operator of the Scissor # 187 carried out the support of the right gable, from the platform it is arranged to place the Split set in the drill in the squat position to be introduced by the bolt, moment in which the which between the cocada of the support mesh falls from the crown a piece of rock (5cmx4cmx2cm; 112gr) from an approximate height of 2m impacting on the cervical region of the collaborator, causing the lesion described. At the time of the accident the crown was held and the collaborator used his safety glasses and gloves.",1
3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,The clerk was peeling and pulling a sheet came another one that struck in his 5th chirodactile of the left hand tearing his PVC sleeve caused a cut.,1
4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"During the activity of chuteo of ore in hopper OP5; the operator of the locomotive parks his equipment under the hopper to fill the first car, it is at this moment that when it was blowing out to release the load, a mud flow suddenly appears with the presence of rock fragments; the personnel that was in the direction of the flow was covered with mud.",1
1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Being at 11:00 a.m. approximately the mechanic was removing the last bolt of the 6 ""nipple in the pump 4115 (lime feeder), reactive area, the mechanic is positioned slightly flexing the legs and performs upward force with both hands, in that moment feels a pain and a spume in the right thigh. The mechanic is evacuated with the help of his colleagues to the medical post.",1
4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,At approximately 6:20 p.m. on 08/06/16 the operator Eustaquio falls down from the metal platform that gives access to tank D-1021 of the strong acid leaching stage and suffers luxo-fractures in the wrist left when leaning on the floor with his hand. The operator was directed to the first tank of the strong acid leaching stage (Tk D-2040) to verify the entry of spent to the taque.,4
2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"the workshop at the end of the welding work in the small bolter equipment, the welder proceeds to clean the inside of a metal stool, impregnated with thinner (flammable liquid) and with the help of a hammer and screwdriver proceeds to remove the oxides, when hitting The screwdriver with the hammer produces a flash in the internal base of the stool, which produces a slight burn in the right hand of the welder. - At the time of the accident, the welder only uses a glove on the left hand ..",1
3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"As the employee cleaned the thermal recovery boiler using an air boom, the hose loosened from the pipe connection, drawing a jet of compressed air toward his right ear, causing impact noise.",1
2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"employee reports that upon initiating 615RLC front loading activity, during the elevation of the aerial work platform, a rock fragment from the roof of the gallery was dropped, reaching its face, causing the lesion.",1
4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"In the Nv. 2930 - Chamber of accumulation of aggregates: When the worker, made the cast of shotcrete towards the crown of the work, at 2:00 p.m. he perceives discomfort and fogging of the full face, then decides to take it off and chooses to use only his safety glasses for comfort to continue with the thrown shotcrete, at 3:45 p.m. suffers the projection of shotcrete rebound particles in the left eye.",2
2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"During the execution of the area cleaning activity using a hoe, the employee hit against a fixed metal structure in the area, coming to reach the abdomen on the left.",2
2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"At 22:50 hours in row 12 when the cell suction partner removes the suction hose, untimely splashes of electrolyte solution in the left eye. Immediately he was referred to the medical service.",1
4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"During the execution of the task of assembling the box of testimony boxes, in the area of ​​Bonsucesso, around 10:40 am Orlando research driller - GEOSOL, trying to fit two parts of the trestles, a third piece fell on his hand, which was on the piece he held, causing a small trauma to his left thumb. The employee was referred to São Lucas hospital - Paracatu LTDA and attended and released without leaving work soon after.",3
1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"At level 4150 (+80) Unicon plant the collaborator was doing shuttering work in the concrete water sedimentation basin, at the moment of nailing a wood as it supplies on another 4 x 4 inch strip, he feels that the metallic hammer loosen the wooden handle and to fix it, he grabs the hammer by the head and hits the handle vertically on a wood, generating the injury. At the time of the accident the employee did not use his safety gloves.",1
4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"During the transit of the fuel tanker of level 3530 at level 2925 by the north ramp; When passing through level 3140 the operator feels that the right rear tire skids and when the operator performs a defensive maneuver the truck hits the left gable causing the injury described. At the time of the accident, the pilot and co-pilot were wearing a safety belt, their safety glasses and helmet.",1
4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"The worker Yaranga while working with barretilla in Stop 996, Level 3300. While unloading metal mesh, on the basket of an ampoloader with his operator Juan barretilla is embedded on safety boot, reacting immediately the worker removing the limb with force and managing to release the foot, but producing a wound on the right foot.",3
3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"While installing a segment of the polyurethane pulley protective lyner - 60x4x5cm weighing 1.2 kg - on the head pulley of the ore winch, when the pulley is rotated to compress the lyner inside the channel, it falls from its housing 1.50 m rubbing the right side of the worker's hip, generating the injury described.",1
4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"During the maintenance of the peristaltic pump 02BP0166 to change the internal hose, the rupture tubing of the reserve pump 02BP0167 ruptured after it started to operate, designing solution heated towards the employee, reaching his left forearm causing irritation in the skin.",1
5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,When starting the activity of removing a coil of electric cables in the warehouse with the help of forklift truck the operator did not notice that there was a beehive in it. Due to the movement of the coil the bees were excited. Realizing the fact the operator turned off the equipment and left the area. People passing by were stung.,1
2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mr. Marcelo withdrew foam from the ajax oven, using the metal spoon to empty it into the foam waste container. At that moment splash of slag residues, impacting the face and generating a surface burn. The worker was wearing a face mask.",1
3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"When conducting inspection to evaluate activity to be carried out in the pump house of the Ustulation steam station, it was hit by sulfuric acid spills from a line located above the pump house of the thermal recovery boiler.",1
5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"The employees Márcio and Sérgio performed the pump pipe clearing activity FZ1.031.4 and during the removal of the suction spool flange bolts, there was projection of pulp over them causing injuries.",2
4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"When the Master additive was taken from the AFO-755 license plate towards the launching team No. 26, the collaborator Bonifacio (robot assistant) at the moment he received the bucket emptiness of the operator Enoc feels that he drops a drop of additive in the right eye, feeling a burning sensation, so he immediately goes to wash the affected eye in the team's eyes, then the collaborator is evacuated to NATCLAR. At the time of the accident, the employee had glasses, but he was not using them correctly.",2
3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"The employee reports that he was working with brushcutters near the Stone when the blade of the equipment collided with a piece of metal that was projected toward his leg, causing injury to his left leg.",1
2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"During the activities of revegetation of the slopes of the pit pit II, the employee hitting the sledgehammer on the rods for installation of the lifeline, it hit his right leg, causing a slight excoriation.",1
4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"The operator of the paste filling plant 01 removes a floor grating (60 x 90 cm), to clean the lower floor. It is removed to close the water valve and does not block the vacuum, the two technicians who were entering the filter belt notice an overflow and ask the operator to reduce the load. The mechanics kept walking without noticing the floor and one of them falls into the void impacting his foot left at an angle that was about 25 cm below the floor grating, producing the injury.",4
2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"During the marking of the management points, the supervision and the breeders enter the work to carry out the ventilation inspection, for which the surveying work stops to turn on the fan and proceed with the air flow measurements. When the fan is turned on due to pressure, it breaks the fastening points of the toe and the sleeve falls to the floor generating a chicoteo from gable to gable, product of the chicoteo a fragment of the aggregate of the shocrete is projected on the face of the injured person producing the injury.",1
3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"During the maintenance on the LX-P-205B pump, there was the projection of silicate pulp, reaching the right leg of the employee.",1
4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"In section 75 in row 12 Cell 36, the worker performs anode lifting to correct short circuit, using the auxiliary hoist and nylon sling, at which time the sling is released from the anode and hits the back of the right hand causing it the injury. Worker is seen in the Medical and transferred to a clinic for external evaluation.",4
4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"On 04/19/2017, the employee de Lima da Silva was composing the team of opening of bite to survey of IP. The team consisted of one mining technician and three assistants. When was moving in the bite he touched his left foot on a stump of Tucum that was on the ground covered with dry leaves of vegetation near drainage. When he felt the thorn piercing on his foot, he told the mining technician what had happened and the teammate removed the thorn that pierced the top of the boot. After removal of the spine the foot was washed and it was verified that there was no other injury. After the event the technician waxed the activity and returned to the city of Porangatu / GO. It was not necessary to take the employee to the health unit.",1
